School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
KESSLER ELEMENTARY SCHOOL,2015-16,315,96.8,3.2,1,2.2,0,0,2.5,2.5,2.9,1.9,2.2,2.9,305,10,3,7,0,0,8,8,9,6,7,9,Y,LONGVIEW SCHOOL DISTRICT,1902 E KESSLER BLVD.,LONGVIEW,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
KETTLE FALLS ELEMENTARY SCHOOL,2015-16,272,86.8,11.8,0.7,6.6,2.6,2.6,8.5,8.5,8.5,8.5,8.5,7.7,236,32,2,18,7,7,23,23,23,23,23,21,Y,KETTLE FALLS SCHOOL DISTRICT,PO BOX 458,KETTLE FALLS,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,K -4,Y,N
KETTLE FALLS HIGH SCHOOL,2015-16,214,88.3,10.3,0.9,9.3,0.5,0.5,7,6.1,6.1,4.7,5.6,0,189,22,2,20,1,1,15,13,13,10,12,0,Y,KETTLE FALLS SCHOOL DISTRICT,PO BOX 458,KETTLE FALLS,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
KETTLE FALLS MIDDLE SCHOOL,2015-16,212,82.5,16,0.5,15.1,0,0.9,7.5,6.6,8.5,9,12.3,8.5,175,34,1,32,0,2,16,14,18,19,26,18,Y,KETTLE FALLS SCHOOL DISTRICT,PO BOX 458,KETTLE FALLS,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,5-8,N,Y
KEY PENINSULA MIDDLE SCHOOL,2015-16,377,85.9,7.4,0.8,6.6,0,0,4.8,4.8,5,5,4.2,7.4,324,28,3,25,0,0,18,18,19,19,16,28,Y,PENINSULA SCHOOL DISTRICT,5510 KEY PENINSULA HWY N,LAKEBAY,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
KILO MIDDLE SCHOOL,2015-16,549,89.4,3.6,0.5,2.4,0.7,0,2.2,2.2,1.6,2.2,2,2.4,491,20,3,13,4,0,12,12,9,12,11,13,Y,FEDERAL WAY SCHOOL DISTRICT,4400 S 308TH ST,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
KIMBALL ELEMENTARY SCHOOL,2015-16,419,87.8,2.4,1.4,1,0.5,0,0.5,0.5,1.2,1.4,0.7,2.1,368,10,6,4,2,0,2,2,5,6,3,9,Y,SEATTLE PUBLIC SCHOOLS,3200 23 AV S,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
KINGS SCHOOLS,2015-16,1135,67.8,3.5,0.1,3.1,0.4,0,2.1,2.2,2.4,2.2,2.3,3,769,40,1,35,4,0,24,25,27,25,26,34,Y,SHORELINE SCHOOL DISTRICT,19303 FREMONT AVE N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y
KING'S WAY CHRISTIAN SCHOOL,2015-16,753,92.6,6,1.1,4.1,0.8,0,5,5,4,4.4,3.1,5.2,697,45,8,31,6,0,38,38,30,33,23,39,Y,VANCOUVER SCHOOL DISTRICT,3300 NE 78 ST,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-12,Y,Y
KINGSPOINT CHRISTIAN SCHOOL,2015-16,94,74.5,12.8,6.4,6.4,0,0,9.6,7.4,8.5,7.4,5.3,10.6,70,12,6,6,0,0,9,7,8,7,5,10,Y,PASCO SCHOOL DISTRICT,7900 W COURT ST,PASCO,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K-12,Y,Y
KINGSTON HIGH SCHOOL,2015-16,850,92.9,6.1,0.4,5.4,0.4,0,4,3.3,4,3.2,4.5,0,790,52,3,46,3,0,34,28,34,27,38,0,Y,NORTH KITSAP SCHOOL DISTRICT,26201 SIYAYA AVENUE NE,KINGSTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-12,N,N
KINGSTON MIDDLE SCHOOL,2015-16,497,93,6,0.6,5.2,0.2,0,3.2,2.6,2.2,2.8,3,3.8,462,30,3,26,1,0,16,13,11,14,15,19,Y,NORTH KITSAP SCHOOL DISTRICT,9000 W KINGSTON RD,KINGSTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,6-8,N,Y
KIONA-BENTON CITY HIGH SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,KIONA-BENTON CITY SCHOOL DISTRICT,1107 GRACE AVENUE,BENTON CITY,BENTON,EDUCATIONAL SERVICE DISTRICT 123,9-12,N,N
KIONA-BENTON CITY MIDDLE SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,KIONA-BENTON CITY SCHOOL DISTRICT,1107 GRACE AVENUE,BENTON CITY,BENTON,EDUCATIONAL SERVICE DISTRICT 123,6-8,N,Y
KIONA-BENTON CITY PRIMARY SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,KIONA-BENTON CITY SCHOOL DISTRICT,1107 GRACE AVENUE,BENTON CITY,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-3,Y,N
KIRK ELEMENTARY,2015-16,540,90.4,7.8,3.9,3.9,0,0,3.1,3,3.7,4.4,5.4,4.4,488,42,21,21,0,0,17,16,20,24,29,24,Y,LAKE WASHINGTON SCHOOL DISTRICT,1312 6TH STREET,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
KIRKLAND CHILDRENS SCHOOL,2015-16,25,96,4,0,4,0,0,4,4,4,4,4,4,24,1,0,1,0,0,1,1,1,1,1,1,Y,LAKE WASHINGTON SCHOOL DISTRICT,5311 108TH AVE NE,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-K,Y,N
KIRKLAND MIDDLE SCHOOL,2015-16,572,72,11.5,1.6,9.8,0.5,0,5.8,5.9,6.5,6.3,6.6,7.3,412,66,9,56,3,0,33,34,37,36,38,42,Y,LAKE WASHINGTON SCHOOL DISTRICT,430 18TH AVE,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
KIRKLAND SDA SCHOOL,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,LAKE WASHINGTON SCHOOL DISTRICT,5320 108TH AVE NE,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,Y,Y
KIRKWOOD ELEMENTARY SCHOOL,2015-16,674,96,0.1,0,0.1,0,0,0.1,0.1,0.1,0.1,0,0.1,647,1,0,1,0,0,1,1,1,1,0,1,Y,TOPPENISH SCHOOL DISTRICT,403 SOUTH JUNIPER STREET,TOPPENISH,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
KITSAP ADVENTIST CHRISTIAN SCHOOL,2015-16,19,100,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,Y,CENTRAL KITSAP SCHOOL DISTRICT,5088 NW TAYLOR RD,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-8,Y,Y
KITSAP LAKE ELEMENTARY,2015-16,435,90.6,3,0,2.1,0.7,0.2,2.5,2.5,2.8,2.8,2.8,0.2,394,13,0,9,3,1,11,11,12,12,12,1,Y,BREMERTON SCHOOL DISTRICT,1111 CARR BLVD.,BREMERTON,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,K -5,Y,N
KITTITAS ELEMENTARY SCHOOL,2015-16,268,85.8,3,0,2.6,0.7,0,3,3,3,3,2.6,3,230,8,0,7,2,0,8,8,8,8,7,8,Y,KITTITAS SCHOOL DISTRICT,PO BOX 599,KITTITAS,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N
KITTITAS HIGH SCHOOL,2015-16,365,78.6,6.8,0.8,5.5,0.8,0,3.6,3,3.6,3.6,3.8,4.7,287,25,3,20,3,0,13,11,13,13,14,17,Y,KITTITAS SCHOOL DISTRICT,PO BOX 599,KITTITAS,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,6-12,N,Y
KLAHOWYA SECONDARY,2015-16,932,96,3.9,0.8,3,0.1,0,2.8,2.8,2.1,2.1,2.3,1.8,895,36,7,28,1,0,26,26,20,20,21,17,Y,CENTRAL KITSAP SCHOOL DISTRICT,P.O. BOX 8,SILVERDALE,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,7-12,N,N
KLICKITAT ELEM & HIGH,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,KLICKITAT SCHOOL DISTRICT,P. O. BOX 37,KLICKITAT,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 112,K -12,Y,Y
KNOLLS VISTA ELEMENTARY,2015-16,438,92.7,2.5,0.5,1.6,0.5,0,1.4,1.4,1.4,1.4,0.9,2.5,406,11,2,7,2,0,6,6,6,6,4,11,Y,MOSES LAKE SCHOOL DISTRICT,454 W RIDGE ROAD,MOSES LAKE,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N
KOINONIA LEARNING ACADEMY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,SEATTLE PUBLIC SCHOOLS,3019 S ANGELINE ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y
KOKANEE ELEMENTARY,2015-16,725,89.9,5,0.7,4.4,0,0,3.2,3.2,3.7,3.4,3.9,4.1,652,36,5,32,0,0,23,23,27,25,28,30,Y,NORTHSHORE SCHOOL DISTRICT,23710 57 AV SE,WOODINVILLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
KOMACHIN MIDDLE SCHOOL,2015-16,741,85.7,3.5,0.5,2.8,0.1,0,1.3,1.3,1.1,1.5,2.3,2.4,635,26,4,21,1,0,10,10,8,11,17,18,Y,NORTH THURSTON PUBLIC SCHOOLS,3650 COLLEGE ST SE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,7-8,N,N
KOPACHUCK MIDDLE SCHOOL,2015-16,537,92.9,7.1,0.9,5.8,0.4,0,3.9,3.9,4.1,4.3,3.9,5.2,499,38,5,31,2,0,21,21,22,23,21,28,Y,PENINSULA SCHOOL DISTRICT,10414 56TH ST NW,GIG HARBOR,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
KULSHAN MIDDLE SCHOOL,2015-16,563,85.8,9.6,0.4,8.7,0,0.5,5.2,4.3,3.7,4.3,5,6.2,483,54,2,49,0,3,29,24,21,24,28,35,Y,BELLINGHAM SCHOOL DISTRICT,1250 KENOYER DR,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
L & E ACADEMY,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,LAKE WASHINGTON SCHOOL DISTRICT,308 4TH AVE S,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
L P BROWN ELEMENTARY,2015-16,328,78.4,4,0.3,3.7,0,0,2.4,2.4,2.1,2.4,2.7,2.7,257,13,1,12,0,0,8,8,7,8,9,9,Y,OLYMPIA SCHOOL DISTRICT,2000 26TH AVE NW,OLYMPIA,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N
LA CENTER ELEMENTARY,2015-16,681,87.7,9.3,2.1,6,1.2,0,5.1,5.1,5.7,5,5.6,8.1,597,63,14,41,8,0,35,35,39,34,38,55,Y,LA CENTER SCHOOL DISTRICT,PO BOX 1810,LA CENTER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
LA CENTER HIGH SCHOOL,2015-16,572,95.6,3,0.2,2.3,0.5,0.2,1.7,1.4,1.4,1.6,1.6,0,547,17,1,13,3,1,10,8,8,9,9,0,Y,LA CENTER SCHOOL DISTRICT,725 HIGHLAND RD,LA CENTER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,9-12,N,N
LA CENTER MIDDLE SCHOOL,2015-16,386,75.4,7.5,1.8,5.2,0.8,0,3.4,2.8,4.4,3.4,3.6,6.2,291,29,7,20,3,0,13,11,17,13,14,24,Y,LA CENTER SCHOOL DISTRICT,700 E 4TH ST,LA CENTER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,N,Y
LA CONNER ELEMENTARY,2015-16,260,0,4.2,2.3,1.9,0,0,1.2,1.2,1.2,1.5,1.5,1.9,0,11,6,5,0,0,3,3,3,4,4,5,Y,LA CONNER SCHOOL DISTRICT,PO BOX 2103,LA CONNER,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N
LA CONNER HIGH SCHOOL,2015-16,225,88.9,11.1,0.4,11.1,0,0,3.6,3.6,3.6,4,3.6,4.9,200,25,1,25,0,0,8,8,8,9,8,11,Y,LA CONNER SCHOOL DISTRICT,PO BOX 2103,LA CONNER,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
LA CONNER MIDDLE,2015-16,140,0,7.9,0,7.9,0,0,2.1,2.1,2.9,3.6,3.6,4.3,0,11,0,11,0,0,3,3,4,5,5,6,Y,LA CONNER SCHOOL DISTRICT,PO BOX 2103,LA CONNER,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,N,Y
LA SALLE HIGH SCHOOL,2015-16,219,47.5,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,Y,UNION GAP SCHOOL DISTRICT,3000 LIGHTNING WAY,UNION GAP,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,9-12,N,N
LA VENTURE MIDDLE SCHOOL,2015-16,630,93.2,4.3,1.1,2.9,0.3,0,1.9,1.6,1.1,1.1,1.4,1.7,587,27,7,18,2,0,12,10,7,7,9,11,Y,MOUNT VERNON SCHOOL DISTRICT,1200 LAVENTURE RD,MOUNT VERNON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,7-8,N,N
LACAMAS HEIGHTS ELEMENTARY,2015-16,355,89.3,10.4,2.3,6.5,1.7,0,7.3,7.6,7.6,7.9,7,9,317,37,8,23,6,0,26,27,27,28,25,32,Y,CAMAS SCHOOL DISTRICT,4600 NE GARFIELD STREET,CAMAS,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
LACEY ELEMENTARY,2015-16,470,88.7,3,1.5,1.5,0,0,2.6,2.6,2.1,2.3,2.1,2.6,417,14,7,7,0,0,12,12,10,11,10,12,Y,NORTH THURSTON PUBLIC SCHOOLS,1800 HOMANN DR SE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
LACKAMAS ELEMENTARY,2015-16,308,82.1,2.6,0.3,1.3,0.6,0.3,2.3,2.3,1.6,2.3,1,1.9,253,8,1,4,2,1,7,7,5,7,3,6,Y,YELM SCHOOL DISTRICT,16240 BALD HILL RD,YELM,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y
LACROSSE ELEMENTARY SCHOOL,2015-16,45,88.9,11.1,0,11.1,0,0,11.1,11.1,6.7,4.4,4.4,6.7,40,5,0,5,0,0,5,5,3,2,2,3,Y,LACROSSE SCHOOL DISTRICT,111 HILL AVE,LACROSSE,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,K -8,Y,Y
LACROSSE HIGH SCHOOL,2015-16,26,84.6,15.4,0,15.4,0,0,15.4,15.4,3.8,3.8,3.8,7.7,22,4,0,4,0,0,4,4,1,1,1,2,Y,LACROSSE SCHOOL DISTRICT,100 HILL STREET,LACROSSE,WHITMAN,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
LAFAYETTE ELEMENTARY SCHOOL,2015-16,485,88.9,9.1,1.6,7.4,0.6,0,4.1,4.1,4.7,5.8,6.6,6.6,431,44,8,36,3,0,20,20,23,28,32,32,Y,SEATTLE PUBLIC SCHOOLS,2645 CALIFORNIA AV SW,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
LAKE DOLLOFF ELEMENTARY SCHOOL,2015-16,445,89.4,2.5,0.4,1.6,0.4,0,2.2,2.2,2.5,2.2,2.2,2.5,398,11,2,7,2,0,10,10,11,10,10,11,Y,FEDERAL WAY SCHOOL DISTRICT,4200 S 308TH ST,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
LAKE FOREST PARK ELEMENTARY,2015-16,549,92.3,7.7,1.3,6.6,0,0,3.5,3.3,3.6,4,3.5,6,507,42,7,36,0,0,19,18,20,22,19,33,Y,SHORELINE SCHOOL DISTRICT,18500 37TH AVENUE N.E.,LAKE FOREST PARK,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
LAKE FOREST PARK MONTESSORI,2015-16,,,,,,,,,,,,,,,,,,,,,,,,,,N,SHORELINE SCHOOL DISTRICT,19935 19TH AVE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-12,Y,Y
LAKE GROVE ELEMENTARY SCHOOL,2015-16,429,97,1.2,0.5,0.7,0,0,1.2,1.2,0.9,0.9,0.9,0.9,416,5,2,3,0,0,5,5,4,4,4,4,Y,FEDERAL WAY SCHOOL DISTRICT,303 SW 308TH ST,FEDERAL WAY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
LAKE HILLS ELEMENTARY,2015-16,500,89.6,3.2,0.2,2.6,0.6,0,2.2,2.2,2.2,2,1.2,2.8,448,16,1,13,3,0,11,11,11,10,6,14,Y,BELLEVUE SCHOOL DISTRICT,14310 SE 12TH STREET,BELLEVUE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
LAKE LOUISE ELEMENTARY SCHOOL,2015-16,400,94.3,1.8,1,0.5,0.3,0,1.8,1.5,1,1.5,1,1,377,7,4,2,1,0,7,6,4,6,4,4,Y,CLOVER PARK SCHOOL DISTRICT,11014 HOLDEN RD SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
LAKE QUINAULT ELEMENTARY,2015-16,79,91.1,3.8,2.5,0,1.3,0,2.5,2.5,2.5,2.5,3.8,2.5,72,3,2,0,1,0,2,2,2,2,3,2,Y,LAKE QUINAULT SCHOOL DISTRICT,6130 HWY 101 N,AMANDA PARK,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N
LAKE QUINAULT HIGH SCHOOL,2015-16,92,90.2,2.2,1.1,1.1,0,0,0,0,1.1,0,1.1,0,83,2,1,1,0,0,0,0,1,0,1,0,Y,LAKE QUINAULT SCHOOL DISTRICT,6130 HWY 101 N,AMANDA PARK,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,6-12,N,Y
LAKE ROOSEVELT HIGH SCHOOL,2015-16,311,100,0,0,0,0,0,0,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,Y,GRAND COULEE DAM SCHOOL DISTRICT,500 CIVIC WAY,COULEE DAM,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,N,N
LAKE SHORE ELEMENTARY,2015-16,410,94.1,5.6,0.2,4.6,0.7,0,3.7,3.7,4.1,4.9,4.1,4.4,386,23,1,19,3,0,15,15,17,20,17,18,Y,VANCOUVER SCHOOL DISTRICT,9300 NW 21ST AVE,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N
LAKE SPOKANE ELEMENTARY,2015-16,409,87.3,5.4,2.7,2.4,0,0.5,3.2,3.2,2.9,2.9,4.2,3.7,357,22,11,10,0,2,13,13,12,12,17,15,Y,NINE MILE FALLS SCHOOL DISTRICT,6015 HWY 291,NINE MILE FALLS,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N
LAKE STEVENS MIDDLE SCHOOL,2015-16,628,79.1,6.2,0.6,4.9,0.6,0,4.1,3.3,3.5,3.5,3.3,4,497,39,4,31,4,0,26,21,22,22,21,25,Y,LAKE STEVENS SCHOOL DISTRICT,1031 91 AVE SE,LAKE STEVENS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-7,N,Y
LAKE STEVENS SR HIGH SCHOOL,2015-16,1827,94.6,4.2,0.5,3.5,0.2,0,3,2.5,2.5,2,2.1,0,1728,77,10,64,3,0,55,46,46,36,38,0,Y,LAKE STEVENS SCHOOL DISTRICT,2908 113 AVE NE,LAKE STEVENS,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,10-12,N,N
LAKE TAPPS ELEMENTARY,2015-16,484,92.4,6,1,4.1,0.2,0.6,4.1,4.1,4.3,4.1,4.8,4.8,447,29,5,20,1,3,20,20,21,20,23,23,Y,DIERINGER SCHOOL DISTRICT,1320 178TH AVENUE E.,LAKE TAPPS,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,1-3,N,N
MT. RAINIER LUTHERAN HIGH SCHOOL,2015-16,95,100,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,Y,PUYALLUP SCHOOL DISTRICT,7306 WALLER RD E,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
LAKE VIEW ELEMENTARY SCHOOL,2015-16,408,91.4,5.6,1.7,3.7,0.2,0,3.4,3.4,3.7,4.2,2.7,4.7,373,23,7,15,1,0,14,14,15,17,11,19,Y,AUBURN SCHOOL DISTRICT,16401 SE 318TH ST,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
LAKE WASHINGTON GIRLS MIDDLE SCHOOL,2015-16,105,94.3,5.7,1,4.8,0,0,1.9,2.9,3.8,5.7,4.8,3.8,99,6,1,5,0,0,2,3,4,6,5,4,Y,SEATTLE PUBLIC SCHOOLS,810 18TH AVE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
LAKE WASHINGTON HIGH,2015-16,1605,90.7,6.5,0.7,5.3,0.2,0.3,3.9,3.5,3.9,2.9,4.2,0,1455,104,11,85,4,5,63,56,63,47,68,0,Y,LAKE WASHINGTON SCHOOL DISTRICT,12033 NE 80TH,KIRKLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
LAKE WILDERNESS ELEMENTARY,2015-16,1106,90,2.8,0.1,2.6,0.1,0,1.7,1.7,2.2,1.9,1.9,2.5,995,31,1,29,1,0,19,19,24,21,21,28,Y,TAHOMA SCHOOL DISTRICT,24216 WITTE ROAD SE,MAPLE VALLEY,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
LAKE YOUNGS ELEMENTARY SCHOOL,2015-16,532,91.4,5.1,0.8,3.9,0.4,0.2,3,2.8,3.6,3.2,2.6,4.1,486,27,4,21,2,1,16,15,19,17,14,22,Y,KENT SCHOOL DISTRICT,19660 142ND AVE SE,KENT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y
LAKELAND ELEMENTARY SCHOOL,2015-16,400,88.8,9.5,1.5,7.5,0.5,0,7.2,7.2,8.3,8.3,7.5,8.5,355,38,6,30,2,0,29,29,33,33,30,34,Y,FEDERAL WAY SCHOOL DISTRICT,35827 32ND AV S,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
LAKELAND HILLS ELEMENTARY,2015-16,678,93.7,5,0.4,4,0.6,0,3.2,3.2,3.4,3.5,3.4,3.7,635,34,3,27,4,0,22,22,23,24,23,25,Y,AUBURN SCHOOL DISTRICT,1020 EVERGREEN WAY SE,AUBURN,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
LAKERIDGE ELEMENTARY SCHOOL,2015-16,418,96.4,2.6,0.2,1.9,0.2,0.5,1.4,1.2,1.9,1.2,1.2,1,403,11,1,8,1,2,6,5,8,5,5,4,Y,RENTON SCHOOL DISTRICT,7400 S 115TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
LAKERIDGE ELEMENTARY SCHOOL,2015-16,619,95,3.6,1.3,2.3,0,0,1.9,2.3,2.6,2.1,2.4,1.9,588,22,8,14,0,0,12,14,16,13,15,12,Y,MERCER ISLAND SCHOOL DISTRICT,8215 SE 78TH,MERCER ISLAND,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N
LAKERIDGE MIDDLE SCHOOL,2015-16,598,86.5,8.2,0.5,7.7,0.5,0.2,5.9,4.8,4.3,5.2,5,5.9,517,49,3,46,3,1,35,29,26,31,30,35,Y,SUMNER SCHOOL DISTRICT,5909 MYERS RD E,SUMNER,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
LAKES ELEMENTARY SCHOOL,2015-16,746,76.4,3.4,0.4,2.9,0,0,1.9,1.9,2,2.3,2.4,2.8,570,25,3,22,0,0,14,14,15,17,18,21,Y,NORTH THURSTON PUBLIC SCHOOLS,6211 MULLEN RD SE,LACEY,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y
LAKES HIGH SCHOOL,2015-16,1369,95.8,0.8,0.1,0.7,0,0,0.7,0.5,0.4,0.5,0.5,0,1311,11,2,10,0,0,9,7,6,7,7,0,Y,CLOVER PARK SCHOOL DISTRICT,10320 FARWEST DR SW,LAKEWOOD,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
LAKESHORE MONTESSORI SCHOOL,2015-16,8,87.5,12.5,0,12.5,0,0,12.5,12.5,12.5,12.5,12.5,12.5,7,1,0,1,0,0,1,1,1,1,1,1,Y,VANCOUVER SCHOOL DISTRICT,4803 NE 15TH AVE,VANCOUVER,CLARK,EDUCATIONAL SERVICE DISTRICT 112,PK-K,Y,N
LAKESIDE HIGH SCHOOL,2015-16,542,88.9,5.4,0.4,5,0,0,3.1,2.6,2.6,1.1,2.2,0,482,29,2,27,0,0,17,14,14,6,12,0,Y,NINE MILE FALLS SCHOOL DISTRICT,5909 HWY 291,NINE MILE FALLS,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,9-12,N,N
LAKESIDE MIDDLE SCHOOL,2015-16,366,79,6.6,0.5,5.5,0,0.5,3.3,3.3,3.6,3.3,3.3,5.5,289,24,2,20,0,2,12,12,13,12,12,20,Y,NINE MILE FALLS SCHOOL DISTRICT,6169 HIGHWAY 291,NINE MILE FALLS,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,6-8,N,Y
