School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,School_District,Address,City,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade
BEVERLY PARK ELEM AT GLENDALE,2015-16,437,98.4,0.7,0.2,0,0,0.5,0.7,0.7,0.7,0.7,0.2,0.7,430,3,1,0,0,2,3,3,3,3,1,3,Y,HIGHLINE SCHOOL DISTRICT,1201 S 104TH ST,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y
BICKLETON ELEMENTARY & HIGH SCHOOL,2015-16,86,100,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,Y,BICKLETON SCHOOL DISTRICT,100 MARKET ST.,BICKELTON,KLICKITAT,EDUCATIONAL SERVICE DISTRICT 105,K -12,Y,Y
BIG LAKE ELEMENTARY SCHOOL,2015-16,290,88.3,7.6,0.7,6.9,0.3,0,4.8,4.8,3.4,4.8,3.8,5.2,256,22,2,20,1,0,14,14,10,14,11,15,Y,SEDRO-WOOLLEY SCHOOL DISTRICT,16802 LAKE VIEW BLVD.,MOUNT VERNON,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y
BIG LEAF MONTESSORI,2015-16,6,66.7,33.3,0,33.3,0,0,33.3,33.3,33.3,33.3,33.3,33.3,4,2,0,2,0,0,2,2,2,2,2,2,Y,LONGVIEW SCHOOL DISTRICT,PO BOX 1911,CASTLE ROCK,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,PK-K,Y,N
BIG PICTURE SCHOOL,2015-16,190,96.3,2.1,0,1.6,0.5,0,2.1,2.1,2.1,2.1,2.1,0,183,4,0,3,1,0,4,4,4,4,4,0,Y,HIGHLINE SCHOOL DISTRICT,2450 SO. 142ND ST,SEATAC,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,7-12,N,N
BILLINGS MIDDLE SCHOOL,2015-16,85,88.2,11.8,1.2,9.4,0,1.2,7.1,8.2,7.1,8.2,9.4,8.2,75,10,1,8,0,1,6,7,6,7,8,7,Y,SEATTLE PUBLIC SCHOOLS,7217 WOODLAWN AVE NE,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,N,Y
BIO MED ACADEMY,2015-16,427,91.8,4.7,0.7,4,0,0,2.8,2.1,2.8,1.9,2.3,0,392,20,3,17,0,0,12,9,12,8,10,0,Y,MARYSVILLE SCHOOL DISTRICT,8301 84TH STREET NE,MARYSVILLE,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,N,N
BIRCHWOOD ELEMENTARY,2015-16,319,87.5,6,1.9,3.8,0.3,0.3,3.1,3.1,3.8,3.8,5,4.7,279,19,6,12,1,1,10,10,12,12,16,15,Y,BELLINGHAM SCHOOL DISTRICT,3200 PINEWOOD AVE,BELLINGHAM,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK -5,Y,N
BIRNEY ELEMENTARY SCHOOL,2015-16,389,94.3,2.6,1,1.3,0,0.3,2.1,2.1,2.1,2.1,2.1,2.6,367,10,4,5,0,1,8,8,8,8,8,10,Y,TACOMA SCHOOL DISTRICT,1202 S 76TH ST,TACOMA,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N
BISHOP BLANCHET HIGH SCHOOL,2015-16,855,99.2,0.8,0,0.8,0,0,0.6,0.7,0.8,0.7,0.7,0.8,848,7,0,7,0,0,5,6,7,6,6,7,Y,SEATTLE PUBLIC SCHOOLS,8200 WALLINGFORD AVE N,SEATTLE,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,N,N
