School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,Address,City,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,,,
ALBERT EINSTEIN MIDDLE SCHOOL,2014-15,739,92.7,6.4,0.4,6,0.1,0.1,3.1,2.4,4.2,4.2,4.7,0,685,47,3,44,1,1,23,18,31,31,35,0,Y,19343 3RD AVENUE N.W.,SHORELINE,SHORELINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43289,N,N,,,
ALCOTT ELEMENTARY,2014-15,646,85,3.1,1.1,1.9,0.2,0,2,2,2.3,1.9,1.7,2.9,549,20,7,12,1,0,13,13,15,12,11,19,Y,4213 - 228TH AVE NE,REDMOND,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
ALCUIN SCHOOL,2014-15,12,100,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,Y,216 W BOSTON,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-1,Y,N,,,
ALDERWOOD ELEMENTARY SCHOOL,2014-15,239,87.4,6.3,2.1,4.2,0,0,3.8,3.8,4.2,3.3,5.4,4.6,209,15,5,10,0,0,9,9,10,8,13,11,Y,3400 HOLLYWOOD AVE,BELLINGHAM,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,,,
ALDERWOOD MIDDLE SCHOOL,2014-15,717,95.3,3.9,0.7,3.2,0.4,0,2.9,1.8,2.4,2.2,2.2,0,683,28,5,23,3,0,21,13,17,16,16,0,Y,20000 28TH AVE W,LYNNWOOD,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43289,N,N,,,
ALFARETTA HOUSE,2014-15,157,1.3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Y,10903 GRAVELLY LAKE DR SW,LAKEWOOD,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43416,N,N,,,
"ALGER LEARNING CENTER, INC.",2014-15,17,94.1,5.9,0,5.9,0,0,5.9,0,5.9,5.9,5.9,0,16,1,0,1,0,0,1,0,1,1,1,0,Y,121 ALDER DR,SEDRO-WOOLLEY,MOUNT BAKER SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-12,Y,Y,,,
ALKI ELEMENTARY SCHOOL,2014-15,407,89.4,8.8,3.4,5.9,0,0.2,3.4,3.4,4.9,5.2,5.2,7.6,364,36,14,24,0,1,14,14,20,21,21,31,Y,3010 59 AV SW,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
ALKI MIDDLE SCHOOL,2014-15,728,90.7,5.2,0.3,3.7,1.4,0,3.6,2.9,3.7,3.7,2.9,1.4,660,38,2,27,10,0,26,21,27,27,21,10,Y,1800 NW BLISS RD,VANCOUVER,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,43259,N,Y,,,
ALL SAINTS CATHOLIC SCHOOL,2014-15,368,92.4,3.5,0,3,0.5,0,1.1,1.1,1.1,1.4,1.6,3.5,340,13,0,11,2,0,4,4,4,5,6,13,Y,3510 E 18TH AVE,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,P-8,Y,Y,,,
ALL SAINTS SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,2323 54TH AVE E,FIFE,FIFE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-2,Y,N,,,
