School_Name,School_year,K_12_enrollment,Percent_complete_for_all_immunizations,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_exempt_for_diphtheria_tetanus,Percent_exempt_for_pertussis,Percent_exempt_for_measles_mumps_rubella,Percent_exempt_for_polio,Percent_exempt_for_HepatitisB,Percent_exempt_for_varicella,Number_complete_for_all_immunizations,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_exempt_for_diphtheria_tetanus,Number_exempt_for_pertussis,Number_exempt_for_measles_mumps_rubella,Number_exempt_for_polio,Number_exempt_for_HepatitisB,Number_exempt_for_varicella,Reported,Address,City,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,,,
MANSFIELD ELEM AND HIGH SCHOOL,2014-15,98,76.5,2,0,2,0,0,1,2,0,0,0,0,75,2,0,2,0,0,1,2,0,0,0,0,Y,P.O. BOX 188,MANSFIELD,MANSFIELD SCHOOL DISTRICT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,PK-12,Y,Y,,,
MANSON ELEMENTARY,2014-15,321,91.3,3.7,0.9,3.1,0,0,3.4,3.4,3.4,3.4,2.2,2.8,293,12,3,10,0,0,11,11,11,11,7,9,Y,BOX A,MANSON,MANSON SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,Y,N,,,
MANSON MIDDLE HIGH SCHOOL,2014-15,348,89.1,4.3,0.9,3.4,0,0,2,1.7,2,1.7,2.3,1.7,310,15,3,12,0,0,7,6,7,6,8,6,Y,PO BOX A,MANSON,MANSON SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,43263,N,Y,,,
MAP,2014-15,22,72.7,13.6,0,13.6,0,0,9.1,9.1,0,9.1,13.6,4.5,16,3,0,3,0,0,2,2,0,2,3,1,Y,610 E NORTH FOOTHILLS,SPOKANE,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43293,N,N,,,
MAPLE ELEMENTARY SCHOOL,2014-15,470,83.8,2.1,1.7,0.4,0,0,0.4,0.4,0.4,1.1,0.4,1.5,394,10,8,2,0,0,2,2,2,5,2,7,Y,4925 CORSON AV S,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
MAPLE GROVE K-8,2014-15,503,78.7,13.5,0,11.3,1.6,0.6,10.9,10.7,10.3,10.1,8.2,8.7,396,68,0,57,8,3,55,54,52,51,41,44,Y,PO BOX 200,BATTLE GROUND,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-8,Y,Y,,,
MAPLE HILLS ELEMENTARY,2014-15,410,92.9,6.1,0.7,5.4,0,0,3.2,3.2,4.1,3.4,3.9,5.4,381,25,3,22,0,0,13,13,17,14,16,22,Y,15644 204TH AVE SE,RENTON,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
MAPLE LAWN ELEMENTARY,2014-15,584,90.8,5.3,0.9,4.1,0.5,0.2,3.4,3.4,3.8,3.6,3.4,4.6,530,31,5,24,3,1,20,20,22,21,20,27,Y,230 WOOD AVE,SUMNER,SUMNER SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
NORTH WHIDBEY KID'S ACADEMY,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,297 NE HARVEST DR.,OAK HARBOR,OAK HARBOR SCHOOL DISTRICT,ISLAND,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,P-2,Y,N,,,
MAPLEWOOD CENTER,2014-15,34,85.3,11.8,2.9,8.8,0,0,8.8,8.8,5.9,8.8,0,5.9,29,4,1,3,0,0,3,3,2,3,0,2,Y,20100 84TH AVE W,EDMONDS,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -12,Y,Y,,,
MAPLEWOOD ELEMENTARY,2014-15,389,92.3,7.5,1,6.4,0,0,4.9,2.1,4.6,5.4,5.7,6.9,359,29,4,25,0,0,19,8,18,21,22,27,Y,1110 W PIONEER,PUYALLUP,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y,,,
MAPLEWOOD HEIGHTS ELEMENTARY SCHOOL,2014-15,618,95.1,3.6,0.8,2.8,0,0.2,2.3,2.3,2.3,2.1,1.9,2.9,588,22,5,17,0,1,14,14,14,13,12,18,Y,13430 144TH AVE SE,RENTON,RENTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
MAPLEWOOD PARENT COOP,2014-15,462,91.8,7.4,0.6,6.5,0.2,0,1.9,1.9,2.6,2.6,3.9,3,424,34,3,30,1,0,9,9,12,12,18,14,Y,8500 200TH ST SW,EDMONDS,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -8,Y,Y,,,
MARCUS WHITMAN ELEMENTARY,2014-15,481,98.1,1.5,0,1.5,0,0,1.5,1.5,1,1.5,1.2,1,472,7,0,7,0,0,7,7,5,7,6,5,Y,1704 GRAY,RICHLAND,RICHLAND SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,,,
MARCUS WHITMAN JUNIOR HIGH,2014-15,757,95.4,4.5,0.7,3.7,0.3,0,3.3,2.6,3,2.2,3,0,722,34,5,28,2,0,25,20,23,17,23,0,Y,1887 MADRONA DR SE,PORT ORCHARD,SOUTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,43290,N,N,,,
MARCUS WHITMAN-COWICHE ELEMENTARY,2014-15,348,91.7,1.1,0,0.9,0.3,0,0.6,0.6,0.6,0.6,0.6,1.1,319,4,0,3,1,0,2,2,2,2,2,4,Y,1181 THOMPSON RD,COWICHE,HIGHLAND SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -3,Y,N,,,
MARINER HIGH SCHOOL,2014-15,2168,94,2,0.5,1.4,0.1,0,1.4,0,1,1,1.2,0.6,2037,43,10,30,3,0,30,0,21,21,27,12,Y,200 120TH STREET SW,EVERETT,MUKILTEO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
MARK MORRIS HIGH SCHOOL,2014-15,926,95.6,3.3,0.4,2.4,0.8,0,2.7,2.6,1.8,1.5,1,0,885,31,4,22,7,0,25,24,17,14,9,0,Y,1602 MARK MORRIS COURT,LONGVIEW,LONGVIEW SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,43355,N,N,,,
MARK TWAIN ELEMENTARY,2014-15,673,99.6,0.1,0,0.1,0,0,0,0,0,0,0.1,0,670,1,0,1,0,0,0,0,0,0,1,0,Y,1801 N ROAD 40,PASCO,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,,,
MARK TWAIN ELEMENTARY SCHOOL,2014-15,547,96,0.9,0.5,0.4,0,0,0.7,0.7,0.9,0.5,0.5,0.9,525,5,3,2,0,0,4,4,5,3,3,5,Y,2450 S STAR LAKE RD,FEDERAL WAY,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
MARLIN HUTTERITE SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,21344 RD 18 NE,WARDEN,WILSON CREEK SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,P-12,Y,Y,,,
MARRION ELEMENTARY SCHOOL,2014-15,528,74.8,2.3,0,2.1,0,0.2,1.5,1.5,1.5,1.5,1.7,2.7,395,12,0,11,0,1,8,8,8,8,9,14,Y,10119 NE 14TH STREET,VANCOUVER,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
MARSHALL ELEMENTARY,2014-15,359,90.5,5.3,1.1,4.2,0.3,0,3.9,3.9,3.9,3.3,3.1,4.5,325,19,4,15,1,0,14,14,14,12,11,16,Y,4407 116TH ST NE,MARYSVILLE,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,Y,N,,,
MARTHA & MARY CHILDREN'S LEARNING CENTER,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,19282 FRONT ST NE,POULSBO,NORTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-1,Y,N,,,
MARTHA LAKE ELEMENTARY,2014-15,518,89.2,6.4,2.1,4.2,0.2,0,2.5,2.3,3.5,3.1,3.5,5.8,462,33,11,22,1,0,13,12,18,16,18,30,Y,17500 LARCH WAY,LYNNWOOD,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,,,
MARTIN LUTHER KING ELEMENTARY,2014-15,506,94.7,3.2,0.8,1.8,0.8,0,2.6,2.6,2.4,2.4,1.8,2.8,479,16,4,9,4,0,13,13,12,12,9,14,Y,4801 IDAHO ST,VANCOUVER,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,Y,N,,,
MARTIN LUTHER KING JR ELEMENTARY,2014-15,607,98.8,0.3,0,0.3,0,0,0.2,0.2,0.2,0,0,0.3,600,2,0,2,0,0,1,1,1,0,0,2,Y,2000 S 18TH ST,YAKIMA,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,,,
MARTIN LUTHER KING JR. ELEMENTARY SCHOOL,2014-15,367,89.1,3.8,2.7,0.8,0,0.3,0.8,0.8,1.1,1.6,1.4,1.9,327,14,10,3,0,1,3,3,4,6,5,7,Y,7740 34 AVE SW,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
MARTIN SORTUN ELEMENTARY SCHOOL,2014-15,615,92.5,1.8,0.7,0.8,0.5,0,1.5,1.5,1.3,1.1,1,1.8,569,11,4,5,3,0,9,9,8,7,6,11,Y,12711 SE 248TH ST,KENT,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
MARVISTA ELEMENTARY,2014-15,640,93.1,5.5,5.3,0,0.2,0,4.1,4.1,0.6,0.2,0.3,0.5,596,35,34,0,1,0,26,26,4,1,2,3,Y,19800 MARINE VIEW DR SW,NORMANDY PARK,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y,,,
MARY M KNIGHT ELEMENTARY,2014-15,77,79.2,14.3,2.6,9.1,2.6,0,10.4,10.4,11.7,10.4,10.4,14.3,61,11,2,7,2,0,8,8,9,8,8,11,Y,1500 W BEEVILLE LOOP RD,ELMA,MARY M KNIGHT SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-6,Y,Y,,,
MARY M KNIGHT HIGH SCHOOL,2014-15,99,76.8,6.1,0,4,2,0,5.1,2,6.1,6.1,4,0,76,6,0,4,2,0,5,2,6,6,4,0,Y,2987 W MATLOCK BRADY RD,ELMA,MARY M KNIGHT SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,43293,N,N,,,
MARY PURCELL ELEMENTARY SCHOOL,2014-15,399,91.7,6.5,0.5,5.8,0.3,0,2.8,2.8,2.8,2.3,3,5.5,366,26,2,23,1,0,11,11,11,9,12,22,Y,700 BENNETT STREET,SEDRO-WOOLLEY,SEDRO-WOOLLEY SCHOOL DISTRICT,SKAGIT,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,,,
MARY WALKER HIGH SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,PO BOX 159,SPRINGDALE,MARY WALKER SCHOOL DISTRICT,STEVENS,EDUCATIONAL SERVICE DISTRICT 101,43355,N,N,,,
MARYSVILLE ARTS AND TECHNOLOGY HIGH SCHOOL,2014-15,321,92.2,3.7,0,3.4,0.3,0,2.8,1.2,2.8,2.2,2.2,0,296,12,0,11,1,0,9,4,9,7,7,0,Y,7204 27TH AVE NE,MARYSVILLE,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
MARYSVILLE COOP PROGRAM,2014-15,290,83.8,11,2.4,7.6,1,0,7.9,7.9,7.9,7.9,6.9,10.3,243,32,7,22,3,0,23,23,23,23,20,30,Y,2415 74TH ST NE,MARYSVILLE,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,Y,N,,,
MARYSVILLE MIDDLE SCHOOL,2014-15,822,87.3,3.5,0.6,2.8,0,0.1,2.2,1.2,1.6,2.2,2.2,0.7,718,29,5,23,0,1,18,10,13,18,18,6,Y,4923 67TH ST NE,MARYSVILLE,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43259,N,Y,,,
MARYSVILLE MOUNTAIN VIEW HIGH SCHOOL,2014-15,228,90.8,5.3,0.9,4.8,0,0,3.9,2.6,3.9,3.1,2.6,0,207,12,2,11,0,0,9,6,9,7,6,0,Y,4317 76TH ST NE,MARYSVILLE,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
MASON COUNTY CHRISTIAN SCHOOL,2014-15,61,42.6,24.6,1.6,23,0,0,19.7,19.7,21.3,0,18,23,26,15,1,14,0,0,12,12,13,0,11,14,Y,470 E EAGLE RIDGE DR,SHELTON,SHELTON SCHOOL DISTRICT,MASON,EDUCATIONAL SERVICE DISTRICT 113,P-8,Y,Y,,,
MASON MIDDLE SCHOOL,2014-15,858,94.6,5.4,1.2,4.1,0,0,1.4,1.6,1.5,1.4,1.4,1.3,812,46,10,35,0,0,12,14,13,12,12,11,Y,3901 N 28TH ST,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
MATHEIA SCHOOL,2014-15,47,97.9,2.1,0,0,2.1,0,2.1,2.1,2.1,2.1,2.1,2.1,46,1,0,0,1,0,1,1,1,1,1,1,Y,2205 NW 67TH ST,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-5,Y,N,,,
MATTAWA ELEMENTARY,2014-15,465,99.6,0,0,0,0,0,0,0,0,0,0,0,463,0,0,0,0,0,0,0,0,0,0,0,Y,P.O. BOX 907,MATTAWA,WAHLUKE SCHOOL DISTRICT,GRANT,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,,,
MATTSON MIDDLE SCHOOL,2014-15,606,95.4,3.1,0.2,2.6,0.5,0,2.3,1.8,1.8,1.3,1.3,0,578,19,1,16,3,0,14,11,11,8,8,0,Y,16400 SE 251ST ST,COVINGTON,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43289,N,N,,,
MAYA ANGELOU ELEMENTARY,2014-15,858,99.7,0.3,0.2,0.1,0,0,0.2,0.2,0.2,0.2,0,0.2,855,3,2,1,0,0,2,2,2,2,0,2,Y,6001 ROAD 84,PASCO,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K -5,Y,N,,,
MAYFLOWER CHRISTIAN SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,541 E 3RD ST,CLE ELUM,CLE ELUM-ROSLYN SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,P-1,Y,N,,,
MAYWOOD HILLS ELEMENTARY,2014-15,617,85.1,6.3,0.8,5,0.5,0.2,3.4,3.4,3.4,3.4,4.4,3.7,525,39,5,31,3,1,21,21,21,21,27,23,Y,19510 104 AV NE,BOTHELL,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
MAYWOOD MIDDLE SCHOOL,2014-15,1019,95,4.9,0.5,4.3,0.1,0,2.7,2.1,2.6,2.4,3.3,1.4,968,50,5,44,1,0,28,21,27,24,34,14,Y,14490 168TH AVE SE,RENTON,ISSAQUAH SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
MC DONALD ELEMENTARY,2014-15,404,81.4,7.4,3.2,4.7,0,0,2.7,2.7,3,4.2,5.2,5.7,329,30,13,19,0,0,11,11,12,17,21,23,Y,4400 INTERLAKE AV N,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
MCAULIFFE ELEMENTARY,2014-15,495,88.9,5.9,2.6,3.6,0,0,2.6,3,2.8,3,2.6,4,440,29,13,18,0,0,13,15,14,15,13,20,Y,23823 NE 22ND,SAMMAMISH,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
MCCARVER ELEMENTARY SCHOOL,2014-15,420,86.9,1.4,0,0.2,0.7,0.7,1.9,1.9,1.9,2.1,2.4,2.1,365,6,0,1,3,3,8,8,8,9,10,9,Y,2111 S J ST,TACOMA,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,Y,N,,,
MCCLEARY ELEM,2014-15,284,71.8,3.2,0,3.2,0,0,1.8,1.8,2.1,2.5,1.8,1.8,204,9,0,9,0,0,5,5,6,7,5,5,Y,611 S. MAIN ST.,MCCLEARY,MCCLEARY SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,PK-8,Y,Y,,,
MCCLURE ELEMENTARY SCHOOL,2014-15,582,95.7,1,0.2,0.9,0,0,0.7,0.7,0.7,0.7,0.7,0.5,557,6,1,5,0,0,4,4,4,4,4,3,Y,1222 S 2ND AVE,YAKIMA,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,,,
MCCLURE ELEMENTARY SCHOOL,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,811 W 2ND ST,GRANDVIEW,GRANDVIEW SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,PK-5,Y,N,,,
MCCLURE MIDDLE SCHOOL,2014-15,542,71.4,10.9,5.4,6.1,0,0,2.2,2.2,2.8,3,4.4,7.7,387,59,29,33,0,0,12,12,15,16,24,42,Y,1915 1 AV W,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
MCDERMOTH ELEMENTARY,2014-15,369,93.8,0.8,0,0.3,0,0.5,0.5,0.5,0.5,0.5,0,0.8,346,3,0,1,0,2,2,2,2,2,0,3,Y,409 NORTH K ST,ABERDEEN,ABERDEEN SCHOOL DISTRICT,GRAYS HARBOR,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,,,
MCDONALD ELEMENTARY SCHOOL,2014-15,3466,8.9,0.7,0.1,0.6,0,0,0.5,0.5,0.5,0.5,0.3,0.6,309,24,2,20,1,1,16,16,17,16,12,21,Y,1512 S. MCDONALD RD.,SPOKANE,CENTRAL VALLEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-5,Y,N,,,
MCFARLAND MIDDLE SCHOOL,2014-15,866,96.7,2.2,0.3,1.8,0,0,0.9,0.8,1.5,1,1.2,0.1,837,19,3,16,0,0,8,7,13,9,10,1,Y,790 S 10TH AVE,OTHELLO,OTHELLO SCHOOL DISTRICT,ADAMS,EDUCATIONAL SERVICE DISTRICT 123,43259,N,Y,,,
MCGILVRA ELEMENTARY SCHOOL,2014-15,288,86.1,5.6,3.1,1.7,0.3,0.3,1.7,1.7,2.1,2.4,2.4,4.9,248,16,9,5,1,1,5,5,6,7,7,14,Y,1617 38 AV E,SEATTLE,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
MCKENNA ELEMENTARY,2014-15,470,88.9,4.9,0.6,4,0.2,0,3.6,3.4,3.6,3.4,3,4.7,418,23,3,19,1,0,17,16,17,16,14,22,Y,PO BOX 476,YELM,YELM SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,Y,Y,,,
MCKENNY ELEMENTARY,2014-15,365,89,8.2,0.5,7.7,0,0,5.8,5.8,6.3,5.8,5.2,6.8,325,30,2,28,0,0,21,21,23,21,19,25,Y,3250 MORSE MERRYMAN RD SE,OLYMPIA,OLYMPIA SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N,,,
MCKINLEY ELEMENTARY SCHOOL,2014-15,450,94,0.9,0.2,0.7,0,0,0.2,0.2,0.2,0.2,0.4,0.7,423,4,1,3,0,0,1,1,1,1,2,3,Y,621 S 13TH AVE,YAKIMA,YAKIMA SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,Y,N,,,
MCKNIGHT MIDDLE SCHOOL,2014-15,1210,96.6,3.1,1.2,1.8,0.1,0,1.1,0.8,1.2,1,1.3,1.1,1169,37,14,22,1,0,13,10,15,12,16,13,Y,1200 EDMONDS AVE NE,RENTON,RENTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
MCLANE ELEMENTARY SCHOOL,2014-15,324,75.6,6.5,1.2,4.9,0.3,0,1.2,1.9,3.4,3.7,4.3,4,245,21,4,16,1,0,4,6,11,12,14,13,Y,200 DELPHI RD SW,OLYMPIA,OLYMPIA SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -5,Y,N,,,
MCLOUGHLIN MIDDLE SCHOOL,2014-15,916,92,2.7,0.7,1.6,0.3,0.2,2,1.5,1.7,1.7,1.6,0.8,843,25,6,15,3,2,18,14,16,16,15,7,Y,5802 MACARTHUR BLVD,VANCOUVER,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,43259,N,Y,,,
MCLOUGHLIN MIDDLE SCHOOL,2014-15,1808,98,1.7,0.1,1.5,0.1,0,1.2,1.2,1.2,1.2,0.9,1.1,1772,30,1,27,2,0,21,22,21,21,17,19,Y,2803 N ROAD 88,PASCO,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,43259,N,Y,,,
MCMICKEN HEIGHTS ELEMENTARY,2014-15,,,,,,,,,,,,,,,,,,,,,,,,,,N,3708 S 168TH ST,SEATAC,HIGHLINE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-6,Y,Y,,,
MCMURRAY MIDDLE SCHOOL,2014-15,380,68.7,16.1,0,15.8,0.3,0,7.9,6.3,9.2,9.2,13.4,5.3,261,61,0,60,1,0,30,24,35,35,51,20,Y,9329 SW CEMETERY RD,VASHON,VASHON ISLAND SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,43259,N,Y,,,
MEAD ALTERNATIVE HIGH SCHOOL,2014-15,98,91.8,8.2,2,6.1,0,0,5.1,5.1,4.1,6.1,4.1,4.1,90,8,2,6,0,0,5,5,4,6,4,4,Y,529 W HASTINGS,SPOKANE,MEAD SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43355,N,N,,,
MEAD ELEMENTARY,2014-15,592,81.1,5.4,1.5,3.7,0.3,0,3.2,3.7,3.7,3.2,2.5,4.2,480,32,9,22,2,0,19,22,22,19,15,25,Y,1725 216TH AVE NE,SAMMAMISH,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,Y,N,,,
MEAD SENIOR HIGH SCHOOL,2014-15,1607,96.3,3.7,0.3,3.2,0,0.2,2.6,2.6,1.8,1.7,1.9,1.6,1547,60,5,52,0,3,42,42,29,28,30,26,Y,302 W HASTINGS RD,SPOKANE,MEAD SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,43355,N,N,,,
MEADOW RIDGE ELEMENTARY,2014-15,599,92.3,7.7,1.2,5.3,0,1.2,5.2,5.2,5,4.7,4.5,6.7,553,46,7,32,0,7,31,31,30,28,27,40,Y,15601 N FREYA ST,MEAD,MEAD SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -6,Y,Y,,,
MEADOW RIDGE ELEMENTARY SCHOOL,2014-15,562,86.7,2.7,0.5,2,0.4,0,2,2,2.1,2,1.6,2.3,487,15,3,11,2,0,11,11,12,11,9,13,Y,27710 108TH AVE SE,KENT,KENT SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,Y,Y,,,
MEADOWDALE ELEMENTARY SCHOOL,2014-15,506,94.1,5.1,0.2,4.7,0.2,0,2.8,2.8,3.2,3,2.6,4.7,476,26,1,24,1,0,14,14,16,15,13,24,Y,6505 168TH ST SW,LYNNWOOD,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,Y,Y,,,
MEADOWDALE HIGH SCHOOL,2014-15,1612,93,3.7,0.2,3.3,0.1,0,1.9,0.9,2.1,1.8,2.5,0,1499,60,4,54,2,0,31,15,34,29,41,0,Y,6002 168TH ST SW,LYNNWOOD,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43355,N,N,,,
MEADOWDALE MIDDLE SCHOOL,2014-15,676,94.5,4.6,0.9,3.6,0.1,0,3,2.4,2.8,2.8,3,0,639,31,6,24,1,0,20,16,19,19,20,0,Y,6500 168TH ST SW,LYNNWOOD,EDMONDS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,43289,N,N,,,
MEADOWGLADE SDA SCHOOL,2014-15,248,93.1,5.2,0.8,6,0,0,4,4,3.6,3.2,1.6,6,231,13,2,15,0,0,10,10,9,8,4,15,Y,18717 NE 109TH AVE,BATTLE GROUND,BATTLE GROUND SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K-8,Y,Y,,,
